time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
1393200,2003,1,-22.698538,-47.642881,412.6549,0,292.5171792,1.569541504,0.014246493,93922.40934,0.000132668,0,01/17/2003 3:00,01/17/2003 0:00,0,0
1404000,2003,1,-22.698538,-47.642881,412.15854,0,292.32243,1.331428806,0.013959329,93823.07688,6.96E-05,0,01/17/2003 6:00,01/17/2003 3:00,0,0
1414800,2003,1,-22.698538,-47.642881,411.11368,0.064669329,292.2701616,1.198371597,0.013957092,93918.42706,8.37E-05,0,01/17/2003 9:00,01/17/2003 6:00,0.098269011,0.064669329
1425600,2003,1,-22.698538,-47.642881,419.31985,181.8484741,296.0828768,1.685596167,0.016233351,94069.03852,9.17E-05,0,01/17/2003 12:00,01/17/2003 9:00,0.718458046,180.797464
1436400,2003,1,-22.698538,-47.642881,441.21014,647.2600041,301.0589384,1.425916014,0.020792299,94017.84492,0,0,01/17/2003 15:00,01/17/2003 12:00,0.998619819,452.9063725
1447200,2003,1,-22.698538,-47.642881,468.2309,685.7308935,303.9156976,1.04306313,0.023089063,93933.29356,0,0,01/17/2003 18:00,01/17/2003 15:00,0.774639362,318.0837376
1458000,2003,1,-22.698538,-47.642881,466.43222,224.4764773,301.1437618,1.056225219,0.022155292,93867.44698,0,0,01/17/2003 21:00,01/17/2003 18:00,0.17772139,88.9468434
1468800,2003,1,-22.698538,-47.642881,436.08514,2.380962257,296.9689546,1.105857562,0.018729655,93968.46272,0.000203046,0,01/18/2003 0:00,01/17/2003 21:00,0,2.380962257
1479600,2003,1,-22.698538,-47.642881,425.32394,0,296.2271631,0.927876824,0.017881515,94004.12556,0.000172934,0,01/18/2003 3:00,01/18/2003 0:00,0,0
1490400,2003,1,-22.698538,-47.642881,424.66162,0,295.7755217,0.694357694,0.017630349,93893.65014,0.000109467,0,01/18/2003 6:00,01/18/2003 3:00,0,0
1501200,2003,1,-22.698538,-47.642881,423.4073,0.059190412,295.5338383,0.476105285,0.017612333,93941.97506,0.000198644,0,01/18/2003 9:00,01/18/2003 6:00,0.097062661,0.059190412
1512000,2003,1,-22.698538,-47.642881,431.66092,59.28665421,296.6715389,0.477607404,0.018784805,94092.49596,0.00030431,0,01/18/2003 12:00,01/18/2003 9:00,0.718010997,59.28665421
1522800,2003,1,-22.698538,-47.642881,449.87497,445.6080576,300.8330049,0.811434807,0.022004686,94016.90751,0.00011058,0,01/18/2003 15:00,01/18/2003 12:00,0.998515773,436.2669086
1533600,2003,1,-22.698538,-47.642881,457.4495,631.565757,302.218137,0.568594579,0.02413974,93832.86133,0.000201191,0,01/18/2003 18:00,01/18/2003 15:00,0.774261096,503.8882965
1544400,2003,1,-22.698538,-47.642881,452.52255,255.6749844,301.6028544,0.732285105,0.024035671,93868.93108,0.000245247,0,01/18/2003 21:00,01/18/2003 18:00,0.176612314,101.8286864
1555200,2003,1,-22.698538,-47.642881,436.22128,8.944566621,298.9779418,0.687738303,0.021461043,94029.05335,0.000336545,0,01/19/2003 0:00,01/18/2003 21:00,0,8.944566621
